route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
0_A1,5,"A1","","WKD GRODZISK MAZOWIECKI RADOŃSKA - WKD/ - Opacz-Kolonia/ - WARSZAWA ŚRÓDMIEŚCIE WKD|WARSZAWA ŚRÓDMIEŚCIE WKD - WKD/ - WKD GRODZISK MAZOWIECKI RADOŃSKA",2
0_A12,5,"A12","","WARSZAWA ŚRÓDMIEŚCIE WKD - Opacz-Kolonia/ - WKD/ - WKD MILANÓWEK GRUDÓW",2
0_E-1,2,"E-1","","METRO STADION NARODOWY - Sokola - Wał Miedzeszyński - Saska - Bora-Komorowskiego - GOCŁAW|GOCŁAW - Egipska - al. Stanów Zjednoczonych - Wał Miedzeszyński - Sokola - METRO STADION NARODOWY",3
0_E-2,2,"E-2","","METRO RATUSZ ARSENAŁ - al. „Solidarności” - pl. Bankowy - Krakowskie Przedmieście - Nowy Świat - Al. Ujazdowskie - Belwederska - Sobieskiego - al. Wilanowska - Przyczółkowa - WILANÓW|WILANÓW - al. Wilanowska - Sobieskiego - Belwederska - Al. Ujazdowskie - pl. Trzech Krzyży - Nowy Świat - Krakowskie Przedmieście - al. „Solidarności” - METRO RATUSZ ARSENAŁ",3
0_L-1,2,"L-1","","PIASECZNO PKP PIASECZNO - Piaseczno/Towarowa - Piaseczno/Dworcowa - Piaseczno/Jana Pawła II - Piaseczno/Orężna - Łoziska/Leśna - Jazgarzewszczyzna/Leśna - Kolonia Lesznowola/Mazowiecka - Bobrowiec/Żwirowa - Wilcza Góra/Żwirowa - Władysławów/Wojska Polskiego - Kuleszówka/Złotych Piasków - Antoninów/Złotych Piasków - Antoninów/droga lokalna - Antoninów/droga wzdłuż Cmentarza Południowego - Stefanowo/droga wzdłuż Cmentarza Południowego - Łazy/Lokalna - Łazy/ks. Słojewskiego - Magdalenka/ks. Słojewskiego - Magdalenka/Lipowa - Magdalenka/Słoneczna - Lesznowola/Słoneczna - Lesznowola/Gminna - Lesznowola/Jedności - Janczewice/Jedności - Falenty/al. Hrabska - Janki/pl. Szwedzki - JANKI PL. SZWEDZKI|JANKI PL. SZWEDZKI - Janki/Mszczonowska - Janczewice/Jedności - Lesznowola/Jedności - Lesznowola/Słoneczna - Lesznowola/Gminna - Lesznowola/Słoneczna - Magdalenka/Lipowa - Magdalenka/ks. Słojewskiego - Łazy/ks. Słojewskiego - Łazy/Wirażowa - Stefanowo/droga wzdłuż Cmentarza Południowego - Antoninów/droga wzdłuż Cmentarza Południowego - Antoninów/Radomska - Antoninów/droga lokalna - Antoninów/Złotych Piasków - Kuleszówka/Masztowa - Władysławów/Wojska Polskiego - Wilcza Góra/Żwirowa - Bobrowiec/Mazowiecka - Kolonia Lesznowola/Leśna - Jazgarzewszczyzna/Leśna - Łoziska/Leśna - Piaseczno/Orężna - Piaseczno/Jana Pawła II - Piaseczno/Dworcowa - Piaseczno/Towarowa - PIASECZNO PKP PIASECZNO",3
0_L10,2,"L10","","LEGIONOWO PKP LEGIONOWO - Legionowo/centrum komunikacyjne - Legionowo/Piłsudskiego - Legionowo/Sobieskiego - Legionowo/Krakowska - Legionowo/al. Legionów - Legionowo/Suwalna - Legionowo/Szarych Szeregów - Łajski/Fabryczna - Łajski/Kościelna - Wieliszew/Kościelna - Wieliszew/Modlińska - Wieliszew/Niepodległości - Wieliszew/por. Przedpełskiego - Komornica/Wspólna - Poddębie/Nasielska - Komornica/Nasielska - KOMORNICA KOMORNICA-SZKOŁA|KOMORNICA KOMORNICA-SZKOŁA - Poddębie/Nasielska - Komornica/Wspólna - Wieliszew/por. Przedpełskiego - Wieliszew/Niepodległości - Wieliszew/Słoneczna - Wieliszew/Modlińska - Wieliszew/Kościelna - Łajski/Kościelna - Łajski/Fabryczna - Legionowo/Szarych Szeregów - Legionowo/pętla os. Młodych - Legionowo/Suwalna - Legionowo/al. Legionów - Legionowo/al. Róż - Legionowo/Sobieskiego - Legionowo/Piłsudskiego - Legionowo/Jagiellońska - Legionowo/Słowackiego - Legionowo/centrum komunikacyjne - LEGIONOWO PKP LEGIONOWO",3
0_L11,2,"L11","","LEGIONOWO PKP LEGIONOWO - Legionowo/Piłsudskiego - Legionowo/Sowińskiego - Legionowo/Warszawska - Legionowo/Zegrzyńska - Michałów-Reginów/Warszawska - Michałów-Reginów/Nowodworska - Łajski/Kościelna - Wieliszew/Kościelna - Wieliszew/Modlińska - Wieliszew/Niepodległości - Wieliszew/por. Przedpełskiego - Komornica/Wspólna - Poniatów/Nowodworska - Skrzeszew/Kościelna - Skrzeszew/Nowodworska - Kałuszyn/Nowodworska - Olszewnica Stara/Warszawska - Olszewnica Stara/skwer 11 Listopada - Olszewnica Stara/Nowodworska - Olszewnica Nowa/Nowodworska - Krubin/Nowodworska - Janówek Pierwszy/Nowodworska - Góra/Nowodworska - Okunin/Okunin - Nowy Dwór Mazowiecki/Bohaterów Modlina - Nowy Dwór Mazowiecki/Warszawska - Nowy Dwór Mazowiecki/Sawy - NOWY DWÓR MAZOWIECKI URZĄD MIASTA|NOWY DWÓR MAZOWIECKI URZĄD MIASTA - Nowy Dwór Mazowiecki/Warszawska - Nowy Dwór Mazowiecki/Modlińska - Nowy Dwór Mazowiecki/Bohaterów Modlina - Okunin/Okunin - Góra/Nowodworska - Janówek Pierwszy/Nowodworska - Krubin/Nowodworska - Olszewnica Nowa/Nowodworska - Olszewnica Stara/Warszawska - Olszewnica Stara/skwer 11 Listopada - Olszewnica Stara/Nowodworska - Kałuszyn/Nowodworska - Skrzeszew/Szkolna - Skrzeszew/Kościelna - Poniatów/Nasielska - Komornica/Wspólna - Wieliszew/por. Przedpełskiego - Wieliszew/Niepodległości - Wieliszew/Słoneczna - Wieliszew/Modlińska - Wieliszew/Kościelna - Łajski/Kościelna - Łajski/Nowodworska - Michałów-Reginów/Nowodworska - Michałów-Reginów/Warszawska - Legionowo/Zegrzyńska - Legionowo/Warszawska - Legionowo/Sowińskiego - Legionowo/Piłsudskiego - Legionowo/Jagiellońska - Legionowo/Słowackiego - Legionowo/centrum komunikacyjne - LEGIONOWO PKP LEGIONOWO",3
0_L12,2,"L12","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Kościuszki - Piaseczno/Sienkiewicza - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Pod Bateriami - Gołków/Gołkowska - Gołków/Zielona - Głosków/Radnych - Głosków/Millenium - Baszkówka/Sadowa - Baszkówka/Ogrodowa - Wólka Pracka/Ogrodowa - Złotokłos/Piaseczyńska - Złotokłos/3 Maja - Henryków-Urocze/Społeczna - HENRYKÓW-UROCZE HENRYKÓW-UROCZE|HENRYKÓW-UROCZE HENRYKÓW-UROCZE - Złotokłos/3 Maja - Złotokłos/Piaseczyńska - Wólka Pracka/Ogrodowa - Baszkówka/Sadowa - Głosków/Millenium - Głosków/Radnych - Gołków/Gołkowska - Piaseczno/Pod Bateriami - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Sienkiewicza - Piaseczno/Wojska Polskiego - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L13,2,"L13","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Kościuszki - Piaseczno/Sienkiewicza - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Pod Bateriami - Jazgarzew/Główna - Jesówka/Źródlana - Zalesie Górne/Pionierów - Zalesie Górne/Wiekowej Sosny - Zalesie Górne/Młodych Wilcząt - ZALESIE GÓRNE PKP ZALESIE GÓRNE|ZALESIE GÓRNE PKP ZALESIE GÓRNE - Zalesie Górne/Pionierów - Jesówka/Źródlana - Wólka Kozodawska/Źródlana - Jazgarzew/Główna - Piaseczno/Pod Bateriami - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Sienkiewicza - Piaseczno/Wojska Polskiego - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L14,2,"L14","","GASSY GASSY-PĘTLA - Gassy/droga wojewódzka nr 712 - Czernidła/droga wojewódzka nr 712 - Łęg/droga wojewódzka nr 712 - Habdzin/droga wojewódzka nr 712 - Opacz/droga wojewódzka nr 721 - Ciszyca/droga wojewódzka nr 721 - Opacz/droga wojewódzka nr 721 - Habdzin/droga wojewódzka nr 721 - Konstancin-Jeziorna/al. Wojska Polskiego - Konstancin-Jeziorna/Warszawska - Konstancin-Jeziorna/Mirkowska - Konstancin-Jeziorna/Bielawska - Bielawa/Powsińska - Bielawa/Wspólna - BIELAWA BIELAWA-PĘTLA|BIELAWA BIELAWA-PĘTLA - Bielawa/Powsińska - Konstancin-Jeziorna/Bielawska - Konstancin-Jeziorna/Warszawska - Konstancin-Jeziorna/al. Wojska Polskiego - Habdzin/droga wojewódzka nr 721 - Opacz/droga wojewódzka nr 721 - Ciszyca/droga wojewódzka nr 721 - Opacz/droga wojewódzka nr 721 - Habdzin/droga wojewódzka nr 712 - Łęg/droga wojewódzka nr 712 - Czernidła/droga wojewódzka nr 712 - Gassy/droga wojewódzka nr 712 - GASSY GASSY-PĘTLA",3
0_L15,2,"L15","","BIELAWA BIELAWA-PĘTLA - Bielawa/Wspólna - Bielawa/Powsińska - Konstancin-Jeziorna/Bielawska - Konstancin-Jeziorna/Mirkowska - Konstancin-Jeziorna/al. Wojska Polskiego - Konstancin-Jeziorna/Piłsudskiego - Konstancin-Jeziorna/Warecka - Borowina/Zaleśna - Kawęczynek/Zaleśna - Kawęczynek/Prosta - Szymanów/Prosta - Szymanów/Warecka - Łubna/droga lokalna - Baniocha/Szkolna - Baniocha/Spokojna - Kąty/Akacjowa - Mikówiec/Puławska - Góra Kalwaria/Pijarska - Góra Kalwaria/Piłsudskiego - Góra Kalwaria/3 Maja - GÓRA KALWARIA RYNEK|GÓRA KALWARIA RYNEK - Góra Kalwaria/Pijarska - Mikówiec/Puławska - Kąty/Puławska - Kąty/Akacjowa - Baniocha/Szkolna - Łubna/droga lokalna - Szymanów/Prosta - Kawęczynek/Topolowa - Kawęczynek/Zaleśna - Borowina/Zaleśna - Borowina/Warecka - Konstancin-Jeziorna/Warecka - Konstancin-Jeziorna/Piłsudskiego - Konstancin-Jeziorna/al. Wojska Polskiego - Konstancin-Jeziorna/Mirkowska - Konstancin-Jeziorna/Bielawska - Bielawa/Powsińska - Bielawa/Wspólna - BIELAWA BIELAWA-PĘTLA",3
0_L16,2,"L16","","KĘPA OKRZEWSKA KĘPA OKRZEWSKA-CMENTARZ - Kępa Okrzewska/droga lokalna - Okrzeszyn/droga lokalna - Bielawa/Okrzewska - Bielawa/Powsińska - Konstancin-Jeziorna/Bielawska - Konstancin-Jeziorna/Warszawska - Konstancin-Jeziorna/Piaseczyńska - Konstancin-Jeziorna/Pułaskiego - Konstancin-Jeziorna/Głowackiego - Konstancin-Jeziorna/Kołobrzeska - Konstancin-Jeziorna/Pułaskiego - Konstancin-Jeziorna/Chylicka - Konstancin-Jeziorna/Rycerska - Konstancin-Jeziorna/Chylicka - Czarnów/Gościniec - CZARNÓW CZARNÓW|CZARNÓW CZARNÓW - Konstancin-Jeziorna/Chylicka - Konstancin-Jeziorna/Prusa - Konstancin-Jeziorna/Rycerska - Konstancin-Jeziorna/Pułaskiego - Konstancin-Jeziorna/Kołobrzeska - Konstancin-Jeziorna/Głowackiego - Konstancin-Jeziorna/Pułaskiego - Konstancin-Jeziorna/Piaseczyńska - Konstancin-Jeziorna/Warszawska - Konstancin-Jeziorna/Mirkowska - Konstancin-Jeziorna/Bielawska - Bielawa/Powsińska - Bielawa/Okrzewska - Obórki/droga lokalna - Kępa Oborska/droga lokalna - Okrzeszyn/droga lokalna - Kępa Okrzewska/droga lokalna - KĘPA OKRZEWSKA KĘPA OKRZEWSKA-CMENTARZ",3
0_L17,2,"L17","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Kościuszki - Piaseczno/Sienkiewicza - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Pod Bateriami - Jazgarzew/Główna - Jazgarzew/Szkolna - Łbiska/Chrobrego - Pęchery/Chrobrego - Grochowa/Słoneczników - Piskórka/Główna - Jaroszowa Wola/Główna - Wągrodno/Złota - Wola Wągrodzka/Kasztanowa - Wola Prażmowska/Główna - Prażmów/Czołchańskiego - PRAŻMÓW URZĄD GMINY|PRAŻMÓW URZĄD GMINY - Wola Prażmowska/Główna - Wola Wągrodzka/Kasztanowa - Wągrodno/Główna - Jaroszowa Wola/Główna - Piskórka/Główna - Grochowa/Słoneczników - Pęchery/Chrobrego - Łbiska/Chrobrego - Jazgarzew/Szkolna - Jazgarzew/Główna - Piaseczno/Pod Bateriami - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Sienkiewicza - Piaseczno/Wojska Polskiego - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L18,2,"L18","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Kościuszki - Piaseczno/Sienkiewicza - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Pod Bateriami - Jazgarzew/Główna - Bogatki/Królewska - Łoś/Prażmowska - Nowy Prażmów/Główna - Zawodne/Ryxa - Prażmów/Ryxa - Prażmów/Czołchańskiego - PRAŻMÓW URZĄD GMINY|PRAŻMÓW URZĄD GMINY - Prażmów/Ryxa - Zawodne/Ryxa - Nowy Prażmów/Główna - Łoś/Prażmowska - Bogatki/Królewska - Bogatki/droga wojewódzka nr 722 - Jazgarzew/Główna - Piaseczno/Pod Bateriami - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Sienkiewicza - Piaseczno/Wojska Polskiego - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L19,2,"L19","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Kościuszki - Piaseczno/Sienkiewicza - Piaseczno/al. Polskiego Państwa Podziemnego - Wólka Kozodawska/Dworska - Jesówka/Źródlana - Zalesie Górne/Pionierów - Zalesie Górne/Wiekowej Sosny - Zalesie Górne/Parkowa - Ustanów/Główna - Ustanów/Parkowa - Jeziórko/Kasztanowa - Krupia Wólka/Główna - Kędzierówka/Główna - Uwieliny/Główna - Uwieliny/Dębowa - Gabryelin/Dębowa - Gabryelin/Akacjowa - Ławki/Główna - Ławki/Zielonych Sosen - Biały Ług/Różana - Wągrodno/Główna - Nowe Wągrodno/Główna - Wola Wągrodzka/Modrzewiowa - Zadębie/droga lokalna - Pieczyska/droga lokalna - Zadębie/droga lokalna - Wola Wągrodzka/Modrzewiowa - Wola Prażmowska/Główna - Prażmów/Czołchańskiego - PRAŻMÓW URZĄD GMINY|PRAŻMÓW URZĄD GMINY - Wola Prażmowska/Główna - Wola Wągrodzka/Modrzewiowa - Zadębie/droga lokalna - Pieczyska/droga lokalna - Zadębie/droga lokalna - Wola Wągrodzka/Modrzewiowa - Wola Wągrodzka/Ogrodowa - Nowe Wągrodno/Główna - Wągrodno/Słoneczna - Biały Ług/Różana - Ławki/Zagórna - Ławki/Główna - Gabryelin/Akacjowa - Gabryelin/Dębowa - Uwieliny/Dębowa - Uwieliny/Główna - Kędzierówka/Główna - Krupia Wólka/Górna - Jeziórko/Kasztanowa - Ustanów/Długa - Ustanów/Parkowa - Ustanów/Główna - Ustanów/Parkowa - Zalesie Górne/Parkowa - Zalesie Górne/Wiekowej Sosny - Zalesie Górne/Pionierów - Jesówka/Źródlana - Wólka Kozodawska/Źródlana - Wólka Kozodawska/Dworska - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Sienkiewicza - Piaseczno/Wojska Polskiego - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L-2,2,"L-2","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Kościuszki - Piaseczno/Sienkiewicza - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Pod Bateriami - Gołków/Gołkowska - Gołków/Zielona - Głosków/Radnych - Runów/Solidarności - Henryków-Urocze/Gromadzka - Henryków-Urocze/Społeczna - Złotokłos/3 Maja - Złotokłos/Mrokowska - ZŁOTOKŁOS ZŁOTOKŁOS|ZŁOTOKŁOS ZŁOTOKŁOS - Złotokłos/3 Maja - Henryków-Urocze/Społeczna - Henryków-Urocze/Gromadzka - Runów/Solidarności - Głosków/Radnych - Gołków/Gołkowska - Piaseczno/Pod Bateriami - Piaseczno/al. Polskiego Państwa Podziemnego - Piaseczno/Sienkiewicza - Piaseczno/Wojska Polskiego - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L21,2,"L21","","KONSTANCIN-JEZIORNA MIRKOWSKA - Konstancin-Jeziorna/Bielawska - Konstancin-Jeziorna/Wilanowska - Konstancin-Jeziorna/droga lokalna - Obory/Literatów - Parcela/Baczyńskiego - Łyczyn/Łyczyńska - Słomczyn/Wilanowska - Słomczyn/Jabłoniowa - Cieciszew/droga lokalna - Kawęczyn/droga lokalna - Dębówka/droga lokalna - Podłęcze/droga lokalna - Wólka Dworska/droga lokalna - Wólka Załęska/Wilanowska - Moczydłów/droga wojewódzka nr 724 - Góra Kalwaria/Wyszyńskiego - Góra Kalwaria/Piłsudskiego - GÓRA KALWARIA RYNEK|GÓRA KALWARIA RYNEK - Góra Kalwaria/3 Maja - Góra Kalwaria/Wyszyńskiego - Moczydłów/droga wojewódzka nr 724 - Wólka Załęska/Wilanowska - Wólka Dworska/droga lokalna - Podłęcze/droga lokalna - Dębówka/droga lokalna - Kawęczyn/droga lokalna - Cieciszew/droga lokalna - Słomczyn/Wilanowska - Łyczyn/Łyczyńska - Parcela/Baczyńskiego - Parcela/droga lokalna - Obory/Literatów - Obory/droga lokalna - Konstancin-Jeziorna/Wilanowska - Konstancin-Jeziorna/Bielawska - KONSTANCIN-JEZIORNA MIRKOWSKA",3
0_L23,2,"L23","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Jana Pawła II - Piaseczno/Dworcowa - Piaseczno/Sienkiewicza - Piaseczno/Kościuszki - Piaseczno/księcia Janusza I Starego - Żabieniec/Asfaltowa - Żabieniec/Główna - Żabieniec/Polna - Siedliska/Sielska - Pólko/Sielska - Chylice/Starochylicka - Chylice/Długa - Konstancin-Jeziorna/Długa - KONSTANCIN-JEZIORNA JASNA|KONSTANCIN-JEZIORNA JASNA - Chylice/Długa - Chylice/Starochylicka - Pólko/Sielska - Siedliska/Sielska - Żabieniec/Polna - Żabieniec/Główna - Żabieniec/Asfaltowa - Piaseczno/księcia Janusza I Starego - Piaseczno/Gerbera - Piaseczno/Sienkiewicza - Piaseczno/Dworcowa - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L24,2,"L24","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Jana Pawła II - Piaseczno/Dworcowa - Piaseczno/Sienkiewicza - Piaseczno/Kościuszki - Piaseczno/księcia Janusza I Starego - Żabieniec/Asfaltowa - Żabieniec/Ptaków Leśnych - Jastrzębie/Ptaków Leśnych - Konstancin-Jeziorna/Chylicka - Konstancin-Jeziorna/Długa - Chylice/Długa - CHYLICE DŁUGA|CHYLICE DŁUGA - Konstancin-Jeziorna/Długa - Konstancin-Jeziorna/Chylicka - Jastrzębie/Ptaków Leśnych - Żabieniec/Ptaków Leśnych - Żabieniec/Asfaltowa - Piaseczno/księcia Janusza I Starego - Piaseczno/Gerbera - Piaseczno/Sienkiewicza - Piaseczno/Dworcowa - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
0_L25,2,"L25","","PIASECZNO URZĄD MIASTA - Piaseczno/droga lokalna - Piaseczno/Puławska - Piaseczno/Jana Pawła II - Piaseczno/Dworcowa - Piaseczno/Sienkiewicza - Piaseczno/Kościuszki - Piaseczno/księcia Janusza I Starego - Żabieniec/Asfaltowa - Pilawa/droga krajowa nr 79 - Pilawa/Klonowa - Orzeszyn/Klonowa - Dobiesz/Mazowiecka - Sierzchów/Mazowiecka - Cendrowice/Szkolna - Sobików/droga wojewódzka nr 683 - Cendrowice/Szkolna - Sobików/droga lokalna - Krzaki Czaplinkowskie/Słoneczna - Góra Kalwaria/Wiejska - Góra Kalwaria/Kalwaryjska - Góra Kalwaria/Piłsudskiego - GÓRA KALWARIA RYNEK|GÓRA KALWARIA RYNEK - Góra Kalwaria/3 Maja - Góra Kalwaria/Kalwaryjska - Góra Kalwaria/Wiejska - Krzaki Czaplinkowskie/Słoneczna - Sobików/droga lokalna - Cendrowice/Szkolna - Sobików/droga wojewódzka nr 683 - Cendrowice/Szkolna - Sierzchów/Mazowiecka - Dobiesz/Mazowiecka - Orzeszyn/Klonowa - Pilawa/Klonowa - Żabieniec/Asfaltowa - Piaseczno/księcia Janusza I Starego - Piaseczno/Gerbera - Piaseczno/Sienkiewicza - Piaseczno/Dworcowa - Piaseczno/Jana Pawła II - Piaseczno/Zgoda - PIASECZNO ZGODA",3
